marca,modelo,año,kilometraje,version,transmision,precio (MXN),ubicacion
Nissan,V-Drive,2022,29592,1.6 VDRIVE AC,Manual,220999,Ciudad de México
Mini,Cooper S,2018,85323,2.0 COOPER S HOT CHILI AUTO,Automático,316999,Ciudad de México
Kia,Rio,2021,47693,1.6 EX AUTO,Automático,264999,Cuernavaca
Chevrolet,Aveo,2021,40881,1.5 LS A,Manual,190999,Ciudad de México
Kia,Niro,2019,52000,1.6 LX DCT,Automático,328999,Ciudad de México
Mg,Hs,2023,14528,2.0 TROPHY DCT AWD,Automático,390999,Ciudad de México
Jeep,Grand Cherokee,2019,66452,3.6 LIMITED LUJO V6 AUTO,Automático,502999,Ciudad de México
Volvo,XC60,2019,54574,2.0 MOMENTUM T5 AUTO AWD,Automático,447999,Ciudad de México
Kia,Sedona,2020,81279,3.3 LX AUTO,Automático,301999,Guadalajara
Infiniti,QX60,2017,67179,3.5 LUXURY FWD,Automático,338999,Ciudad de México
Acura,RDX,2017,114401,3.5 AWD AT,Automático,282999,Ciudad de México
Volkswagen,Tiguan,2022,32416,1.4 RLINE DCT,Automático,516999,Ciudad de México
Mazda,Mazda 2,2019,43817,1.5 I TOURING AUTO,Automático,223999,Ciudad de México
Suzuki,Swift,2021,19262,1.0 BOOSTERJET,Manual,278999,Ciudad de México
Chevrolet,Spark Classic,2017,81620,1.2 LTZ C MT,Manual,151999,Ciudad de México
Volkswagen,Tiguan,2022,26738,1.4 COMFORTLINE DCT,Automático,471999,Ciudad de México
Fiat,Mobi,2021,39796,1.0 LIKE,Manual,179999,Ciudad de México
Nissan,March,2023,13262,1.6 ADVANCE AUTO,Automático,255999,Ciudad de México
Renault,Duster,2015,82415,2.0 DYNAMIQUE PACK AT,Automático,156999,Ciudad de México
Chevrolet,Onix,2022,24500,1.0 LT D AUTO,Automático,234999,Ciudad de México
Acura,TLX,2016,122000,3.5 ADVANCE AT,Automático,205999,Ciudad de México
Bmw,X4,2019,60151,2.0 XDRIVE30IA EXECUTIVE AUTO 4WD,Automático,586999,Ciudad de México
Chevrolet,Trax,2013,131000,1.8 B LT AT,Automático,146999,Monterrey
Mazda,CX-5,2014,117485,2.5 S GRAND TOURING 2WD AT,Automático,234999,Ciudad de México
Chevrolet,Cruze,2017,98349,1.4 LT C TURBO AT,Automático,145999,Monterrey
Mercedes Benz,Clase A,2017,44000,2.0 MERCEDESAMG A 45,Automático,504999,Monterrey
Honda,City,2018,72430,1.5 EX,Automático,225999,Ciudad de México
Kia,Rio,2018,67720,1.6 EX AUTO,Automático,213999,Ciudad de México
Mazda,Mazda 3,2018,69199,2.5 SEDAN S TA,Automático,222999,Ciudad de México
Chevrolet,Aveo,2018,67426,1.5 LS B AUTO,Automático,159999,Ciudad de México
Nissan,Kicks,2018,75104,1.6 EXCLUSIVE LTS CVT,Automático,254999,Ciudad de México
Bmw,X1,2020,48148,1.5 SDRIVE18IA EXECUTIVE DCT,Automático,410999,Ciudad de México
Chevrolet,Trax,2020,36652,1.8 LT B AUTO,Automático,262999,Querétaro
Hyundai,Tucson,2019,67569,2.4 LIMITED TECH AUTO,Automático,313999,Ciudad de México
Volvo,XC60,2019,78728,2.0 INSCRIPTION T6 AUTO AWD,Automático,496999,Guadalajara
Dodge,Journey,2022,21837,1.5 GT AUTO,Automático,437999,Cuernavaca
Honda,HR-V,2021,26361,1.8 UNIQ CVT,Automático,339999,Ciudad de México
Hyundai,Tucson,2017,62000,2.0 GLS AT,Automático,260999,Ciudad de México
Kia,Sportage,2021,39805,2.0 LX AUTO,Automático,316999,Ciudad de México
